time,step,Galaxy-S5-atonomura,nexus7-2012-hmurakami,nexus7-2013-haida,Xperia-Z5-tyamamoto
267,85,79.0,90.0,34.18946838378906,53.0
270,86,81.0,94.0,35.62104797363281,53.0
273,87,82.0,104.0,36.463165283203125,53.0
276,88,82.0,112.0,37.1368408203125,59.0
279,89,83.0,106.0,38.06315612792969,59.0
282,90,83.0,106.0,39.4105224609375,66.0
285,91,84.0,110.0,40.25263977050781,66.0
288,92,120.0,112.0,41.51579284667969,66.0
291,93,130.0,118.0,42.35789489746094,72.0
294,94,135.0,122.0,43.19999694824219,72.0
297,95,145.0,128.0,44.54736328125,79.0
300,96,150.0,132.0,46.3157958984375,79.0
303,97,153.0,136.0,47.49473571777344,72.0
306,98,155.0,138.0,48.757904052734375,72.0
309,99,157.0,142.0,50.10527038574219,72.0
312,100,159.0,146.0,51.36842346191406,79.0
315,101,160.0,148.0,52.80000305175781,86.0
318,102,163.0,154.0,54.56842041015625,86.0
321,103,163.0,158.0,55.4105224609375,92.0
324,104,166.0,162.0,57.600006103515625,92.0
327,105,167.0,172.0,59.45263671875,99.0
330,106,168.0,180.0,61.1368408203125,99.0
333,107,170.0,186.0,62.48420715332031,92.0
336,108,170.0,186.0,63.91578674316406,99.0
339,109,171.0,196.0,65.93684387207031,99.0
342,110,173.0,194.0,67.78947448730469,106.0
345,111,173.0,204.0,69.22105407714844,106.0
348,112,174.0,204.0,71.32632446289063,112.0
351,113,175.0,216.0,74.35789489746094,106.0
354,114,176.0,220.0,76.96842956542969,106.0
357,115,177.0,230.0,79.15789794921875,112.0
360,116,177.0,232.0,79.07368469238281,119.0
363,117,178.0,236.0,81.43157958984375,125.0
366,118,179.0,248.0,84.12631225585938,125.0
369,119,180.0,252.0,85.30526733398438,132.0
372,120,180.0,264.0,86.48420715332031,125.0
375,121,200.0,266.0,89.76841735839844,132.0
378,122,231.0,276.0,90.44210815429688,132.0
381,123,256.0,278.0,93.05264282226563,139.0
384,124,271.0,284.0,96.92631530761719,145.0
387,125,278.0,294.0,100.29473876953125,152.0
390,126,284.0,304.0,102.73684692382813,145.0
393,127,287.0,306.0,104.0,145.0
396,128,294.0,310.0,105.76841735839844,152.0
399,129,296.0,332.0,108.63157653808594,159.0
402,130,299.0,332.0,110.40000915527344,165.0
405,131,303.0,336.0,111.66316223144531,159.0
408,132,306.0,348.0,118.3157958984375,165.0
411,133,308.0,358.0,118.73684692382813,172.0
415,134,311.0,368.0,121.93684387207031,178.0
418,135,313.0,370.0,124.54737854003906,185.0
421,136,316.0,384.0,130.5263214111328,178.0
424,137,317.0,388.0,132.71578979492188,185.0
427,138,320.0,404.0,132.12631225585938,192.0
430,139,321.0,420.0,137.6842041015625,198.0
433,140,323.0,416.0,138.6105194091797,205.0
436,141,325.0,422.0,142.0631561279297,198.0
439,142,327.0,440.0,144.7578887939453,205.0
442,143,327.0,442.0,143.57894897460938,212.0
445,144,329.0,454.0,151.15789794921875,218.0
448,145,330.0,462.0,153.43157958984375,212.0
451,146,332.0,470.0,158.14736938476563,218.0
454,147,334.0,490.0,161.43157958984375,225.0
457,148,334.0,492.0,164.71578979492188,238.0
460,149,432.0,502.0,169.85263061523438,231.0
463,150,437.0,518.0,172.04209899902344,231.0
466,151,455.0,526.0,171.28421020507813,245.0
469,152,466.0,540.0,179.45263671875,251.0
472,153,472.0,554.0,177.3473663330078,258.0
475,154,476.0,564.0,185.6842041015625,258.0
478,155,479.0,566.0,186.69473266601563,265.0
481,156,482.0,574.0,187.95790100097656,271.0
484,157,485.0,580.0,196.04209899902344,265.0
487,158,488.0,598.0,203.03158569335938,278.0
490,159,490.0,612.0,205.4736785888672,285.0
493,160,494.0,628.0,203.6210479736328,291.0
496,161,496.0,634.0,208.92630004882813,291.0
499,162,496.0,644.0,213.97894287109375,298.0
502,163,499.0,658.0,212.04209899902344,304.0
505,164,500.0,670.0,214.39999389648438,311.0
508,165,502.0,680.0,222.6526336669922,304.0
511,166,503.0,690.0,228.12631225585938,311.0
514,167,504.0,702.0,230.3157958984375,324.0
