248502,248702,200,0.596972534,71.74737549,100,178.0210571,0,0,0,0,0,0.333333333,0,0,0,0,0.666666667,247810,248436,626,0.924375417,18.86315918,302,249.4315796,626,0.2,0,0.2,0,0,0,0,0,0.2,0.4,upLeft
254615,254916,301,0.612476296,69.05264282,200,178.1894684,0,0,0,0,0.333333333,0,0,0,0,0,0.666666667,254044,254669,625,0.940267754,14.65263367,325,245.3052521,0,0.25,0,0,0,0,0.25,0,0,0,0.5,upLeft
259127,259527,400,0.500917378,91.62106323,206,183.578949,0,0,0,0,0,0.25,0,0,0,0,0.75,258786,259387,601,0.910123983,21.97894287,301,244.5473633,601,0.2,0.2,0,0,0,0,0,0,0,0.6,upLeft
263738,264239,501,0.42817811,104.9263153,300,183.494751,0,0,0,0,0,0,0.25,0,0,0.25,0.5,263137,263724,587,0.974792728,6.399993896,290,253.8947449,587,0.2,0.2,0,0.2,0,0,0,0,0,0.4,upLeft
269248,269850,602,0.876742187,23.83157349,101,193.3473663,402,0,0.4,0,0,0,0,0,0,0,0.6,268946,269248,302,0.639846759,87.07368469,101,241.7684326,302,0,0,0,0.333333333,0,0,0,0,0,0.666666667,downLeft
273658,274259,601,0.899999983,18.44210815,300,184.421051,601,0,0.2,0,0,0,0,0.2,0,0.2,0.4,273301,273779,478,0.619689143,92.71578979,311,243.7894897,478,0,0,0,0.25,0,0,0,0.25,0,0.5,downLeft
278269,278871,602,0.980347374,3.621047974,301,184.2526245,602,0.2,0,0,0,0.2,0,0,0,0,0.6,277906,278309,403,0.697730388,74.02105713,136,244.8842163,403,0,0,0,0.25,0,0.25,0,0,0,0.5,downLeft
283584,284012,428,0.985178347,2.694732666,206,181.8105316,428,0.2,0.2,0,0,0,0,0.2,0,0,0.4,282829,283530,701,0.741824409,63.15789795,326,244.6315613,701,0,0,0.2,0,0,0,0,0.2,0,0.6,downLeft
288609,289211,602,0.985219422,2.694732666,301,182.3157806,602,0.25,0.25,0,0,0,0,0,0,0,0.5,287848,288457,609,0.783917824,51.36842346,302,237.7263336,0,0,0,0.2,0,0,0.2,0,0.2,0,0.4,downLeft
293218,294030,812,0.984876269,2.778945923,401,183.7473755,812,0.285714286,0,0.142857143,0,0,0,0,0,0.142857143,0.428571429,292565,293266,701,0.737154788,63.32632446,401,240.9263,701,0,0,0.333333333,0,0,0,0,0.333333333,0,0.333333333,downLeft
297928,298530,602,0.980211712,3.621047974,301,182.9894562,602,0.2,0,0,0,0,0.2,0,0.2,0,0.4,297376,297977,601,0.742896764,62.48420715,300,243.0315857,601,0,0,0.2,0,0,0.2,0,0,0.2,0.4,downLeft
302538,303039,501,0.989889711,1.852630615,300,183.2421112,501,0.2,0.2,0,0,0,0,0.2,0,0,0.4,301892,302497,605,0.727966667,66.02105713,302,242.6947327,605,0,0,0.2,0,0,0.2,0,0,0.2,0.2,downLeft
308051,308753,702,0.987637376,2.273681641,501,183.9157867,702,0.333333333,0,0,0,0,0,0,0.166666667,0.166666667,0.333333333,307208,307913,705,0.789007057,50.10527039,403,237.4736786,705,0,0,0.166666667,0.166666667,0,0.166666667,0,0,0.166666667,0.333333333,downLeft
313361,313963,602,0.985594834,2.610519409,304,181.2210541,602,0.2,0.2,0,0,0,0.2,0,0,0,0.4,313028,313529,501,0.684264956,77.05264282,201,244.042099,501,0,0,0,0.25,0,0,0,0.25,0,0.5,downLeft
