diffStartTime,diffEndTime,RatioGestureTime,RatioDeepestRate,Device1Descent,Device1Ascent,Device1DiffDescentAscent,Device1DeepestRate,Device1Deepness0-10,Device1Deepness11-20,Device1Deepness21-30,Device1Deepness31-40,Device1Deepness41-50,Device1Deepness51-60,Device1Deepness61-70,Device1Deepness71-80,Device1Deepness81-90,Device1Deepness91-100,Device2Descent,Device2Ascent,Device2DiffDescentAscent,Device2DeepestRate,Device2Deepness0-10,Device2Deepness11-20,Device2Deepness21-30,Device2Deepness31-40,Device2Deepness41-50,Device2Deepness51-60,Device2Deepness61-70,Device2Deepness71-80,Device2Deepness81-90,Device2Deepness91-100,gesture
843,840,0.995744681,0.045378093,-1.05E-08,1.05E-08,-2.10E-08,2.273681641,0.333333333,0,0,0,0,0,0,0.166666667,0.166666667,0.333333333,-2.32E-07,2.30E-09,-2.34E-07,50.10527039,0,0,0.166666667,0.166666667,0,0.166666667,0,0,0.166666667,0.333333333,downLeft
333,434,1.201596806,0.033879687,-1.39E-08,1.38E-08,-2.77E-08,2.610519409,0.2,0.2,0,0,0,0.2,0,0,0,0.4,-4.92E-07,4.90E-09,-4.97E-07,77.05264282,0,0,0,0.25,0,0,0,0.25,0,0.5,downLeft
521,16,0.613618975,0.691472733,-3.15E-07,3.14E-07,-6.29E-07,37.55789185,0,0.285714286,0.142857143,0,0,0,0.142857143,0.142857143,0,0.285714286,-2.81E-07,2.78E-09,-2.84E-07,54.3157959,0,0,0.333333333,0.111111111,0.111111111,0,0,0,0.222222222,0.222222222,toTop
314,-78,0.69682908,0.801457044,-2.71E-07,2.69E-07,-5.40E-07,37.05262756,0,0.142857143,0.142857143,0.142857143,0,0,0.142857143,0,0,0.428571429,-2.36E-07,2.33E-09,-2.39E-07,46.23158264,0,0.111111111,0.222222222,0.222222222,0,0,0.111111111,0,0.111111111,0.222222222,toTop
417,-184,0.538402458,0.774410801,-3.54E-07,3.53E-07,-7.07E-07,38.73684692,0,0,0.333333333,0.166666667,0.166666667,0,0,0,0,0.333333333,-2.48E-07,2.45E-09,-2.50E-07,50.02105713,0,0,0.5,0.125,0,0,0,0,0.125,0.25,toTop
232,-167,0.668053245,0.664012845,-2.75E-07,2.74E-07,-5.49E-07,35.11579895,0,0.285714286,0.142857143,0.142857143,0,0,0.142857143,0,0,0.285714286,-2.77E-07,2.74E-09,-2.79E-07,52.88421631,0,0,0.25,0.375,0,0,0,0,0,0.375,toTop
136,-146,0.71884347,0.728880274,-2.67E-07,2.66E-07,-5.33E-07,31.24211121,0,0.333333333,0,0,0.166666667,0,0,0.166666667,0,0.333333333,-2.64E-07,2.61E-09,-2.67E-07,42.86315918,0,0.25,0.25,0,0,0.125,0.125,0,0,0.25,toTop
338,-61,0.715609408,0.720702978,-1.86E-07,1.85E-07,-3.71E-07,31.07368469,0,0.5,0,0,0,0,0.125,0,0.125,0.25,-1.86E-07,1.83E-09,-1.87E-07,43.11579895,0,0.1,0.4,0.1,0,0,0,0.1,0.1,0.2,toTop
340,139,0.832917706,0.696629017,-2.15E-07,2.13E-07,-4.28E-07,36.54736328,0,0.125,0.375,0,0,0,0,0,0.125,0.375,-2.57E-07,2.54E-09,-2.59E-07,52.46316528,0,0,0.375,0.125,0,0.125,0,0,0.125,0.25,toTop
237,36,0.832917706,0.729200715,-2.16E-07,2.15E-07,-4.31E-07,37.6421051,0,0.25,0,0.25,0,0,0,0,0.125,0.375,-2.47E-07,2.45E-09,-2.50E-07,51.62104797,0,0,0.444444444,0.111111111,0,0.111111111,0,0,0.111111111,0.222222222,toTop
