time,step,nexus7-2012-hmurakami,nexus7-2013-haida
1498,499,76.0,24.421051025390625
1501,500,76.0,24.505264282226563
1504,501,74.0,24.421051025390625
1507,502,76.0,24.505264282226563
1510,503,62.0,23.15789794921875
1513,504,0.0,0.0
1516,505,0.0,0.0
1519,506,0.0,0.0
1522,507,0.0,0.0
1525,508,0.0,0.0
1528,509,0.0,0.0
1531,510,0.0,0.0
1534,511,2.0,0.0
1537,512,0.0,0.0
1540,513,0.0,0.0
1543,514,0.0,0.0
1546,515,0.0,0.0
1549,516,0.0,0.0
1552,517,0.0,0.0
1555,518,0.0,0.0
1558,519,0.0,0.0
