,1,,,2
208610,45.05262756,,207349,190.9052734
208810,51.28421021,,207449,190.9894714
208911,101.8947449,,207650,189.8947449
209111,125.6421051,,207750,191.1578979
209211,102.6526337,,207950,191.2421112
209412,89.26316833,,208151,190.9894714
209517,164.378952,,208351,190.4842072
209613,237.3052673,,208451,190.5684357
209814,241.5157928,,208651,188.7157745
210015,243.4526367,,208752,180.8842163
210115,241.4315948,,208952,83.957901
210315,240.1684265,,209052,41.51579285
210416,239.7473755,,209252,59.11579895
210516,upTop7,,209453,116.8842163
210616,239.3263092,,209653,186.6105194
210722,240,,209754,188.2105408
210916,240.7579041,,209954,188.3789368
211017,241.9368286,,210054,188.042099
211217,242.7789612,,210154,187.8736877
211317,243.4526367,,210355,185.0947418
211518,246.4842224,,210455,185.8526459
211618,246.7368469,,210516,upTop7
211818,246.1473846,,210655,185.6842041
211919,184.6736755,,210755,186.2736816
212119,37.55789185,,210956,187.4526367
212320,22.48420715,,211056,187.621048
212420,31.91578674,,211257,189.8947449
212620,44.96842957,,211357,189.9789429
212721,48.6736908,,211457,191.4947357
213021,72.75790405,,211658,190.3999939
213227,97.09474182,,211758,190.3157959
213322,101.8105316,,211959,191.3263092
213522,64,,212059,190.9052734
213626,219.3684082,,212259,190.7368317
213824,237.2210388,,212359,189.8947449
213925,243.0315857,,212660,184.5894775
214125,243.9578857,,212760,101.0526428
214225,241.5157928,,212962,42.18946838
214426,239.3263092,,213061,54.23158264
214545,240.5052643,,213361,101.2210541
214728,upTop8,,213462,135.2421112
214728,238.6526337,,213662,186.6105194
214828,239.6631622,,213762,189.1368408
215029,238.3157959,,213962,188.3789368
215129,239.4947357,,214063,189.2210693
215329,241.5999908,,214263,188.5473785
215430,244.1263275,,214363,186.6947327
215630,243.1999969,,214664,186.6105194
215730,244.8000031,,214728,upTop8
215931,246.9052582,,214764,187.2000122
216031,246.5684204,,214964,186.6105194
216231,244.8000031,,215065,186.9473724
216332,128.8421021,,215265,187.621048
216532,8.421051025,,215365,188.8000031
216632,9.010528564,,215567,189.7263031
216833,30.06315613,,215667,191.2421112
216933,48.33683777,,215768,190.3999939
217133,51.70526123,,215968,189.1368408
217234,69.81053162,,216069,190.6526337
217434,62.56842041,,216269,189.7263031
217735,69.6421051,,216369,190.4842072
217835,143.578949,,216569,190.3157959
218036,239.6631622,,216670,190.3999939
218136,244.7157898,,216770,190.8210602
218337,243.2841949,,216972,185.6842041
218446,242.4421082,,217072,111.7473755
218638,241.2631531,,217272,41.6000061
218750,238.6526337,,217386,46.73684692
218942,upTop9,,217674,101.1368408
219044,239.0737,,217786,138.2736816
219244,238.4842072,,217977,186.5263214
219343,240.7579041,,218076,189.8947449
219544,243.1999969,,218276,189.8105316
219644,243.5368347,,218378,189.0526276
219844,243.1999969,,218577,187.53685
219945,245.6420898,,218687,187.1157837
220145,246.3157806,,218777,186.6105194
220246,246.0631561,,218942,upTop9
220446,190.8210602,,219014,186.3578796
220548,27.03158569,,219078,186.7789459
220748,16.6736908,,219278,187.2842102
220950,22.98947144,,219395,187.705246
221051,44.88421631,,219579,188.2105408
221253,49.01052856,,219693,190.2315826
221455,100.5473785,,219880,189.7263031
221656,76.37895203,,219984,191.1578979
221758,74.44210815,,220089,191.8315735
221959,78.48420715,,220280,190.7368317
222160,223.0736694,,220401,190.3999939
222264,241.5999908,,220582,189.7263031
222461,245.3052521,,220701,189.8105316
222602,242.9473572,,220882,190.9894714
222766,243.115799,,220983,190.1473694
222877,241.2631531,,221087,185.4315796
222970,upTop10,,221285,107.2842102
223080,240.1684265,,221385,39.24211121
223170,239.9157715,,221586,39.66316223
223370,240.3368378,,221886,100.378952
223472,243.0315857,,222013,140.2105255
223672,243.4526367,,222089,186.4421082
223774,242.5263214,,222293,189.9789429
223973,243.1999969,,222411,189.8947449
224074,246.6526184,,222593,187.957901
224274,246.9894562,,222700,187.7894745
224377,247.663147,,222894,187.3684082
224574,242.0210571,,222970,upTop10
224678,64.33685303,,223010,186.2736816
224875,7.157897949,,223101,186.9473724
224982,21.72631836,,223295,186.6105194
225176,46.90525818,,223397,187.621048
225285,50.18946838,,223596,188.042099
225476,64.33685303,,223723,190.8210602
225777,71.41053772,,223896,190.2315826
225890,45.6421051,,224013,190.3999939
226078,56,,224197,190.4842072
226179,170.2736816,,224306,191.0736694
226378,237.8947296,,224405,190.1473694
226527,242.7789612,,224597,190.3157959
226679,242.6947327,,224760,189.6421051
226793,241.9368286,,224898,190.6526337
226980,239.3263092,,225009,189.2210693
227099,238.4842072,,225198,187.957901
227281,239.9157715,,225335,179.4526367
227389,238.7368469,,225418,95.41053772
227582,238.6526337,,225599,39.83157349
227707,238.2315674,,225737,40.75790405
227882,238.6526337,,225900,65.17895508
227990,downTop1,,226047,115.4526367
227990,238.5684052,,226200,160.8421021
228283,237.5578918,,226324,185.6000061
228283,239.1578979,,226418,188.1263123
228584,240.0842285,,226701,188.3789368
228684,240.1684265,,226802,188.8000031
228885,243.0315857,,227002,186.6105194
228985,243.1999969,,227103,185.7684174
229185,242.6947327,,227303,186.3578796
229286,243.2841949,,227403,186.4421082
229486,242.8631592,,227503,186.2736816
229586,242.3578949,,227704,185.7684174
229787,243.8736877,,227804,186.3578796
229887,242.3578949,,228005,186.7789459
230088,243.3684235,,227990,downTop1
230188,245.4736938,,228105,185.8526459
230388,246.7368469,,228305,185.0105133
230489,246.8210602,,228405,186.6947327
230689,242.6105194,,228606,187.7894745
230789,240.5894623,,228706,189.2210693
230990,239.3263092,,229007,190.3157959
231090,189.7263031,,229108,191.0736694
231291,64,,229307,189.1368408
231491,54.56842041,,229408,189.6421051
231592,50.3578949,,229608,189.7263031
231792,53.30526733,,229708,190.9052734
231893,52.80000305,,229808,190.0631409
232093,43.36842346,,230009,189.6421051
232193,40.84210205,,230117,190.6526337
232394,40.42105103,,230314,190.0631409
232496,43.11579895,,230414,189.0526276
232695,93.38948059,,230615,190.7368317
232795,45.38948059,,230715,190.4842072
232995,186.4421082,,230818,190.8210602
233096,240.2526245,,231018,190.4842072
233296,244.1263275,,231118,190.3157959
233401,243.0315857,,231319,191.4105225
233597,242.6105194,,231419,187.4526367
233697,241.0105286,,231620,185.6000061
233904,240,,231720,100.5473785
233998,239.4105377,,231826,27.45263672
233998,downTop2,,232024,7.747375488
234198,238.6526337,,232125,4.715789795
234298,237.1368408,,232326,11.53684998
234499,238.4842072,,232433,27.87368774
234599,241.5157928,,232630,29.38948059
234800,243.2841949,,232730,41.09474182
234900,242.2736664,,232933,180.1263275
235101,243.115799,,233033,186.7789459
235201,244.042099,,233133,188.2947388
235401,244.7157898,,233334,188.8842163
235501,245.1368561,,233434,187.621048
235702,244.8842163,,233634,188.2105408
235802,245.8105316,,233735,187.3684082
236003,245.9789429,,233938,186.9473724
236103,246.9894562,,234038,186.4421082
236303,247.1578979,,233998,downTop2
236404,247.2421112,,234038,186.7789459
236604,246.1473846,,234340,187.8736877
236704,243.1999969,,234441,188.4631653
236905,240.1684265,,234641,188.042099
237206,162.3578949,,234942,189.0526276
237306,56,,235042,190.0631409
237506,49.85263062,,235143,189.9789429
237607,48.58947754,,235343,191.1578979
237807,44.04211426,,235443,190.7368317
237907,41.76841736,,235644,191.1578979
238409,72.33685303,,235744,191.4947357
238509,232.5894775,,235944,189.6421051
238710,245.5578918,,236044,191.3263092
238810,244.1263275,,236245,189.6421051
239011,243.0315857,,236345,191.0736694
239115,241.5999908,,236445,190.6526337
239312,240.1684265,,236645,190.5684357
239412,238.6526337,,236745,190.2315826
239613,239.7473755,,236946,190.0631409
239714,237.9789429,,237046,190.6526337
239714,downTop3,,237246,190.3157959
239914,238.1473694,,237346,190.2315826
240014,238.5684052,,237447,185.7684174
240315,240.1684265,,237647,81.17895508
240515,242.7789612,,237747,21.55789185
240615,243.115799,,237948,6.231582642
240816,244.2947235,,238048,6.652633667
240916,246.0631561,,238251,15.41052246
241116,246.5684204,,238349,83.62106323
241217,247.578949,,238449,185.5157928
