,1,,,2
61084,244.378952,,57154,179.8736877
61197,245.2210541,,57446,181.4736938
61385,245.6420898,,57646,182.1473846
61499,244.5473633,,57846,181.9789429
61690,243.7052612,,58047,182.4842224
61797,244.7157898,,58147,181.8947296
61854,upRight1,,58247,181.3894806
61990,245.7263184,,58447,177.5157928
62108,244.6315613,,58548,158.3999939
62292,244.042099,,58748,50.94737244
62409,245.3052521,,58848,125.8947449
62594,244.9684143,,59049,175.8315735
62896,245.8105316,,59149,180.8000031
63024,245.3894806,,59249,183.4105225
63197,244.4631653,,59450,183.0736847
63297,246.4842224,,59550,181.4736938
63599,247.3263092,,59750,182.0631561
63800,246.2315826,,59851,180.5473633
63902,247.9999847,,60051,180.1263275
64102,247.578949,,60151,179.5368347
64202,248.3368378,,60251,180.378952
64402,249.4315796,,60451,181.6420898
64506,248.5894775,,60552,180.2947235
64705,248.6736755,,60752,180.8000031
64813,248.7578888,,60852,181.3894806
65006,247.9157867,,61053,182.0631561
65116,246.7368469,,61153,181.5578918
65306,183.1578979,,61253,182.3157806
65419,120,,61454,182.3999939
65607,244.1263275,,61554,181.8105316
65714,240.1684265,,61754,181.1368561
65907,241.0947418,,61854,182.1473846
66026,246.0631561,,61854,upRight1
66208,246.5684204,,62055,181.8105316
66329,246.0631561,,62155,182.0631561
66508,245.0526276,,62357,181.9789429
66621,245.3894806,,62457,181.8105316
66809,244.8842163,,62557,180.8842163
66935,243.7052612,,62757,180.378952
67109,243.8736877,,62857,180.1263275
67226,244.9684143,,63058,179.2841949
67510,244.5473633,,63158,180.1263275
67510,244.6315613,,63358,180.4631653
67566,upRight2,,63458,180.8842163
67810,245.5578918,,63559,179.8736877
67911,244.8842163,,63759,181.3052521
68111,245.4736938,,63859,181.5578918
68211,244.9684143,,64060,181.8105316
68412,245.7263184,,64160,181.5578918
68512,246.2315826,,64360,178.0210571
68712,247.9157867,,64460,108.8842163
68913,248.1684265,,64561,13.81053162
69213,248.6736755,,64761,2.947372437
69514,249.5157928,,64861,0.842102051
69614,240,,65062,1.768417358
69814,89.43157959,,65162,60.46316528
69914,228.8842163,,65362,184.6736755
70115,240.3368378,,65462,182.0631561
70215,240.4210663,,65563,183.2421112
70415,245.1368561,,65863,183.1578979
70516,246.2315826,,66063,181.5578918
70718,245.7263184,,66364,180.9684143
71018,244.5473633,,66464,178.7789612
71118,243.8736877,,66664,179.7894897
71319,245.6420898,,66765,179.2841949
71419,245.0526276,,66865,179.621048
71619,246.4842224,,67065,179.9578857
71720,245.0526276,,67165,179.7894897
71920,244.8000031,,67366,179.5368347
71875,upRight3,,67466,180.2105255
72020,245.2210541,,67566,upRight2
72220,244.9684143,,67682,178.6105194
72521,244.8842163,,67767,178.7789612
72621,245.6420898,,67867,177.5999908
72822,245.2210541,,68067,178.5263214
72922,245.5578918,,68180,179.1999969
73122,246.3999939,,68368,179.7052612
73223,246.8210602,,68468,180.9684143
73423,248.421051,,68669,182.3157806
73523,247.8315887,,68769,183.7473755
73725,248.421051,,68869,181.4736938
73825,247.663147,,69069,126.1473694
74025,248.1684265,,69170,9.515792847
74126,247.578949,,69370,5.389480591
74326,213.7263184,,69672,179.9578857
74426,89.43157959,,69771,182.9052582
74626,248.1684265,,69871,183.8315887
74727,241.4315948,,70071,183.9157867
74927,242.1894684,,70176,183.578949
75027,246.8210602,,70372,182.0631561
75228,247.2421112,,70472,183.0736847
75328,245.6420898,,70681,180.042099
75528,244.9684143,,70973,180.1263275
75628,244.8842163,,71076,182.1473846
75829,243.621048,,71173,182.4842224
75929,244.6315613,,71474,181.6420898
76129,244.5473633,,71675,180.9684143
76229,244.7157898,,71775,181.9789429
76395,upRight4,,71875,upRight3
76432,244.5473633,,71976,181.5578918
76530,245.2210541,,72075,181.6420898
76731,244.9684143,,72176,181.4736938
76931,245.0526276,,72376,180.2105255
77232,246.1473846,,72476,180.4631653
77332,247.3263092,,72678,179.7052612
77532,247.8315887,,72777,179.9578857
77632,249.0105133,,72977,180.9684143
77833,248.5894775,,73077,182.2315826
77933,248.0842133,,73183,182.4842224
78133,248.2526245,,73378,181.9789429
78233,249.0105133,,73478,181.2210541
78434,249.3473511,,73685,176.0842285
78534,247.3263092,,73779,24.25263977
78735,240.4210663,,73979,3.452636719
78835,101.3894806,,74079,57.09474182
